texto_incidencia,componente,asignacion_departamento,bloqueante,interrumpe_tat,horas_desde_revision
Holgura fuera de tolerancia en el computador del sistema de control de vuelo que requiere parada inmediata según el manual general de mantenimiento.,Electronica,Ingenieria,SI,SI,450.5
Incumplimiento de la norma aeronáutica en el borde de ataque del ala izquierda durante la inspección visual tras la llegada del vuelo.,Estructura,Calidad,SI,SI,671.5
Luz de aviso activada en cabina referente a las tijeras de amortiguación identificado en la recepción de materiales de la cadena de suministro.,Tren_Aterrizaje,Mantenimiento,SI,NO,222.5
Incumplimiento de la norma aeronáutica en el álabe del compresor CFM56 debido presumiblemente a condiciones ambientales extremas en operación.,Motor,Calidad,SI,SI,215.5
Ruido anómalo durante la prueba funcional de las antenas de comunicación VHF tras la notificación formal del operador de la aerolínea.,Electronica,Mantenimiento,NO,NO,134.6
Lote de consumibles caducado utilizado en las tijeras de amortiguación reportado por el operario del turno de noche en el hangar 3.,Tren_Aterrizaje,Calidad,NO,SI,493.1
No coinciden los números de serie en el mazo de cables del sistema de navegación identificado en la recepción de materiales de la cadena de suministro.,Electronica,Calidad,SI,NO,733.4
Anomalía en el comportamiento aerodinámico de el reverso de empuje detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Motor,Ingenieria,SI,SI,
Tornillería suministrada sin trazabilidad para los sensores de proximidad de bloqueo que requiere parada inmediata según el manual general de mantenimiento.,Tren_Aterrizaje,Calidad,SI,NO,
Necesidad de rediseño en el soporte de el eje de transmisión principal identificado en la fase de control de calidad final antes de entrega.,Motor,Ingenieria,NO,NO,841.2
Fuga de fluido hidráulico localizada en la turbina de alta presión debido presumiblemente a condiciones ambientales extremas en operación.,Motor,Mantenimiento,NO,NO,662.0
Cableado deshilachado debido a rozamiento en el reverso de empuje detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Motor,Mantenimiento,SI,SI,744.3
Fuga de fluido hidráulico localizada en el mamparo de presión posterior que requiere parada inmediata según el manual general de mantenimiento.,Estructura,Mantenimiento,SI,NO,1018.6
Acumulación de suciedad y residuos en la cámara de combustión que requiere parada inmediata según el manual general de mantenimiento.,Motor,Mantenimiento,NO,NO,1141.3
Holgura fuera de tolerancia en la caja de accesorios (AGB) identificado en la fase de control de calidad final antes de entrega.,Motor,Ingenieria,SI,NO,63.1
Incumplimiento de la norma aeronáutica en el cárter del ventilador detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Motor,Calidad,NO,SI,
Desviación estructural observada en el mazo de cables del sistema de navegación durante la inspección visual tras la llegada del vuelo.,Electronica,Ingenieria,SI,SI,401.7
Deformación por carga térmica en el reverso de empuje debido presumiblemente a condiciones ambientales extremas en operación.,Motor,Ingenieria,SI,SI,1107.1
Desviación estructural observada en el cableado del radar meteorológico identificado en la fase de control de calidad final antes de entrega.,Electronica,Ingenieria,SI,NO,1018.9
Fisura metalúrgica localizada en la cuaderna de sección de cola tras la notificación formal del operador de la aerolínea.,Estructura,Ingenieria,SI,SI,
Holgura fuera de tolerancia en el panel de aviónica principal que requiere parada inmediata según el manual general de mantenimiento.,Electronica,Ingenieria,SI,SI,443.3
Documentación del proveedor incompleta para las antenas de comunicación VHF identificado en la fase de control de calidad final antes de entrega.,Electronica,Calidad,SI,NO,113.0
Falta certificado de conformidad en lote de las baterías de emergencia de litio debido presumiblemente a condiciones ambientales extremas en operación.,Electronica,Calidad,SI,SI,124.7
Desviación estructural observada en el panel de aviónica principal detectado durante las pruebas funcionales rutinarias de prevuelo.,Electronica,Ingenieria,NO,SI,260.2
Tornillería suministrada sin trazabilidad para el cárter del ventilador detectado durante las pruebas funcionales rutinarias de prevuelo.,Motor,Calidad,SI,SI,72.2
Fisura metalúrgica localizada en el cárter del ventilador detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Motor,Ingenieria,SI,SI,942.3
Sustitución preventiva de juntas y sellos de el computador del sistema de control de vuelo observado tras la limpieza por ultrasonidos en la línea de reparación.,Electronica,Mantenimiento,SI,NO,1155.1
Acumulación de suciedad y residuos en los sensores de proximidad de bloqueo tras la notificación formal del operador de la aerolínea.,Tren_Aterrizaje,Mantenimiento,SI,NO,141.7
No coinciden los números de serie en la cámara de combustión observado tras la limpieza por ultrasonidos en la línea de reparación.,Motor,Calidad,SI,NO,538.2
Lote de consumibles caducado utilizado en los sensores de proximidad de bloqueo que requiere parada inmediata según el manual general de mantenimiento.,Tren_Aterrizaje,Calidad,SI,SI,
Anomalía en el comportamiento aerodinámico de las llantas del tren principal detectado durante las pruebas funcionales rutinarias de prevuelo.,Tren_Aterrizaje,Ingenieria,SI,NO,690.2
Fisura metalúrgica localizada en la cuaderna de sección de cola reportado por el operario del turno de noche en el hangar 3.,Estructura,Ingenieria,SI,SI,904.7
Ajuste de tensión requerido en las líneas de la cámara de combustión durante la inspección visual tras la llegada del vuelo.,Motor,Mantenimiento,NO,NO,
Ajuste de tensión requerido en las líneas de los remaches del revestimiento superior identificado en la fase de control de calidad final antes de entrega.,Estructura,Mantenimiento,NO,,
Ajuste de tensión requerido en las líneas de el actuador hidráulico principal tras la notificación formal del operador de la aerolínea.,Tren_Aterrizaje,Mantenimiento,NO,NO,631.1
Corrosión galvánica severa en interfaz de las sondas Pitot de respaldo debido presumiblemente a condiciones ambientales extremas en operación.,Electronica,Ingenieria,SI,SI,382.0
Fisura por fatiga detectada en los soportes del pilón del motor identificado en la recepción de materiales de la cadena de suministro.,Estructura,Ingenieria,SI,SI,286.7
Desgaste severo por uso operativo en los sensores de proximidad de bloqueo durante la inspección visual tras la llegada del vuelo.,Tren_Aterrizaje,Mantenimiento,SI,NO,990.7
Fuga de fluido hidráulico localizada en el eje de transmisión principal durante la inspección visual tras la llegada del vuelo.,Motor,Mantenimiento,NO,NO,1053.7
Lote de consumibles caducado utilizado en la unidad de potencia auxiliar (APU) control card observado tras la limpieza por ultrasonidos en la línea de reparación.,Electronica,Calidad,NO,SI,930.1
Espesor de recubrimiento fuera de rango en la turbina de alta presión que requiere parada inmediata según el manual general de mantenimiento.,Motor,Calidad,,SI,483.2
Cambio de filtros y purga manual de los remaches del revestimiento superior reportado por el operario del turno de noche en el hangar 3.,Estructura,Mantenimiento,NO,NO,
Fallo catastrófico del material en el larguero principal del fuselaje reportado por el operario del turno de noche en el hangar 3.,Estructura,Ingenieria,SI,SI,
Auditoría interna detecta desviación en el proceso de el eje de transmisión principal detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Motor,Calidad,SI,NO,
No coinciden los números de serie en las sondas Pitot de respaldo identificado en la fase de control de calidad final antes de entrega.,Electronica,Calidad,NO,SI,1095.3
Fuga de fluido hidráulico localizada en el borde de ataque del ala izquierda que requiere parada inmediata según el manual general de mantenimiento.,Estructura,Mantenimiento,NO,NO,
Auditoría interna detecta desviación en el proceso de la caja de accesorios (AGB) que requiere parada inmediata según el manual general de mantenimiento.,Motor,Calidad,SI,SI,557.4
Deformación por carga térmica en los inyectores de combustible debido presumiblemente a condiciones ambientales extremas en operación.,Motor,Ingenieria,SI,NO,323.9
Deformación por carga térmica en la caja de accesorios (AGB) durante la inspección visual tras la llegada del vuelo.,Motor,Ingenieria,SI,NO,121.7
Cambio de filtros y purga manual de el borde de ataque del ala izquierda durante la inspección visual tras la llegada del vuelo.,Estructura,Mantenimiento,SI,NO,757.2
Auditoría interna detecta desviación en el proceso de las sondas Pitot de respaldo identificado en la recepción de materiales de la cadena de suministro.,Electronica,Calidad,NO,SI,130.8
Fuga de fluido hidráulico localizada en el computador del sistema de control de vuelo observado tras la limpieza por ultrasonidos en la línea de reparación.,Electronica,Mantenimiento,NO,NO,167.2
Falta certificado de conformidad en lote de el muelle de extensión del amortiguador observado tras la limpieza por ultrasonidos en la línea de reparación.,Tren_Aterrizaje,Calidad,SI,SI,120.5
Ajuste de tensión requerido en las líneas de el mamparo de presión posterior tras la notificación formal del operador de la aerolínea.,Estructura,Mantenimiento,SI,NO,396.8
No coinciden los números de serie en el eje de transmisión principal tras la notificación formal del operador de la aerolínea.,Motor,Calidad,SI,SI,548.9
Discrepancy en planos de diseño de las baterías de emergencia de litio reportado por el operario del turno de noche en el hangar 3.,Electronica,Ingenieria,SI,SI,965.0
Necesidad de rediseño en el soporte de el pasador de seguridad del tren tras la notificación formal del operador de la aerolínea.,Tren_Aterrizaje,Ingenieria,SI,SI,360.3
Falta certificado de conformidad en lote de las sondas Pitot de respaldo reportado por el operario del turno de noche en el hangar 3.,Electronica,Calidad,SI,SI,712.8
Corrosión galvánica severa en interfaz de la turbina de alta presión identificado en la recepción de materiales de la cadena de suministro.,Motor,Ingenieria,SI,SI,1132.3
Documentación del proveedor incompleta para el borde de ataque del ala izquierda que requiere parada inmediata según el manual general de mantenimiento.,Estructura,Calidad,NO,,61.9
Lote de consumibles caducado utilizado en el mazo de cables del sistema de navegación reportado por el operario del turno de noche en el hangar 3.,Electronica,Calidad,NO,NO,778.1
Fisura metalúrgica localizada en las mangueras del líquido de frenos identificado en la fase de control de calidad final antes de entrega.,Tren_Aterrizaje,Ingenieria,SI,NO,580.2
Deformación por carga térmica en el larguero principal del fuselaje tras la notificación formal del operador de la aerolínea.,Estructura,Ingenieria,SI,NO,247.3
Desgaste asimétrico crítico en el cableado del radar meteorológico detectado durante las pruebas funcionales rutinarias de prevuelo.,Electronica,Ingenieria,SI,NO,1141.0
Falta certificado de conformidad en lote de los remaches del revestimiento superior observado tras la limpieza por ultrasonidos en la línea de reparación.,Estructura,Calidad,SI,SI,614.9
Acumulación de suciedad y residuos en las antenas de comunicación VHF debido presumiblemente a condiciones ambientales extremas en operación.,Electronica,Mantenimiento,NO,NO,889.8
Desgaste asimétrico crítico en la turbina de alta presión debido presumiblemente a condiciones ambientales extremas en operación.,Motor,Ingenieria,SI,SI,1060.4
Anomalía en el comportamiento aerodinámico de el mazo de cables del sistema de navegación debido presumiblemente a condiciones ambientales extremas en operación.,Electronica,Ingenieria,SI,SI,50.0
Firma omitida en la orden de liberación de el computador del sistema de control de vuelo reportado por el operario del turno de noche en el hangar 3.,Electronica,Calidad,SI,SI,
Sustitución rutinaria por horas de vuelo de el mazo de cables del sistema de navegación identificado en la fase de control de calidad final antes de entrega.,Electronica,Mantenimiento,NO,NO,874.0
Desgaste asimétrico crítico en la cuaderna de sección de cola tras la notificación formal del operador de la aerolínea.,Estructura,Ingenieria,SI,NO,1138.1
Desgaste severo por uso operativo en el reverso de empuje que requiere parada inmediata según el manual general de mantenimiento.,,Mantenimiento,NO,NO,537.8
Ruido anómalo durante la prueba funcional de las mangueras del líquido de frenos durante la inspección visual tras la llegada del vuelo.,Tren_Aterrizaje,Mantenimiento,SI,SI,33.7
Necesidad de rediseño en el soporte de el larguero principal del fuselaje que requiere parada inmediata según el manual general de mantenimiento.,Estructura,Ingenieria,SI,SI,879.9
Error de trazabilidad detectada en los soportes del pilón del motor que requiere parada inmediata según el manual general de mantenimiento.,Estructura,Calidad,NO,SI,
Ruido anómalo durante la prueba funcional de el mazo de cables del sistema de navegación durante la inspección visual tras la llegada del vuelo.,Electronica,Mantenimiento,NO,NO,437.7
Tornillería suministrada sin trazabilidad para las pastillas de freno del tren de morro que requiere parada inmediata según el manual general de mantenimiento.,Tren_Aterrizaje,Calidad,NO,NO,350.5
Deformación por carga térmica en el borde de ataque del ala izquierda identificado en la recepción de materiales de la cadena de suministro.,Estructura,Ingenieria,SI,SI,693.4
Documentación del proveedor incompleta para el cárter del ventilador detectado durante las pruebas funcionales rutinarias de prevuelo.,Motor,Calidad,SI,SI,383.7
Auditoría interna detecta desviación en el proceso de la unidad de potencia auxiliar (APU) control card identificado en la recepción de materiales de la cadena de suministro.,Electronica,Calidad,SI,SI,294.1
Desgaste severo por uso operativo en las mangueras del líquido de frenos durante la inspección visual tras la llegada del vuelo.,Tren_Aterrizaje,Mantenimiento,SI,NO,822.3
Documentación del proveedor incompleta para la unidad de potencia auxiliar (APU) control card que requiere parada inmediata según el manual general de mantenimiento.,Electronica,Calidad,SI,SI,
Necesidad de rediseño en el soporte de la cuaderna de sección de cola reportado por el operario del turno de noche en el hangar 3.,Estructura,Ingenieria,SI,NO,431.2
No coinciden los números de serie en el larguero principal del fuselaje identificado en la fase de control de calidad final antes de entrega.,Estructura,Calidad,SI,SI,253.4
Desgaste asimétrico crítico en el estabilizador horizontal tras la notificación formal del operador de la aerolínea.,Estructura,Ingenieria,SI,SI,294.8
Ruido anómalo durante la prueba funcional de el borde de ataque del ala izquierda debido presumiblemente a condiciones ambientales extremas en operación.,Estructura,Mantenimiento,NO,NO,860.9
Fuga de fluido hidráulico localizada en el estabilizador horizontal detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Estructura,Mantenimiento,NO,NO,
Corrosión galvánica severa en interfaz de las llantas del tren principal identificado en la recepción de materiales de la cadena de suministro.,Tren_Aterrizaje,Ingenieria,NO,NO,603.5
Pérdida de presión neumática en el cableado del radar meteorológico reportado por el operario del turno de noche en el hangar 3.,Electronica,Mantenimiento,NO,NO,841.5
Lote de consumibles caducado utilizado en el eje de transmisión principal observado tras la limpieza por ultrasonidos en la línea de reparación.,Motor,Calidad,SI,SI,573.8
Daño por herramientas (FOD) causado por el operario en los inyectores de combustible observado tras la limpieza por ultrasonidos en la línea de reparación.,Motor,Calidad,SI,SI,
Necesidad de rediseño en el soporte de las tijeras de amortiguación detectado durante las pruebas funcionales rutinarias de prevuelo.,Tren_Aterrizaje,Ingenieria,SI,SI,789.1
Anomalía en el comportamiento aerodinámico de el álabe del compresor CFM56 observado tras la limpieza por ultrasonidos en la línea de reparación.,,Ingenieria,SI,SI,796.2
Tornillería suministrada sin trazabilidad para el reverso de empuje detectado durante las pruebas funcionales rutinarias de prevuelo.,,Calidad,SI,SI,
Fisura metalúrgica localizada en las baterías de emergencia de litio observado tras la limpieza por ultrasonidos en la línea de reparación.,,Ingenieria,SI,SI,
Anomalía en el comportamiento aerodinámico de los inyectores de combustible que requiere parada inmediata según el manual general de mantenimiento.,Motor,Ingenieria,SI,SI,
Necesidad de rediseño en el soporte de las antenas de comunicación VHF reportado por el operario del turno de noche en el hangar 3.,Electronica,Ingenieria,SI,SI,
Anomalía en el comportamiento aerodinámico de el cableado del radar meteorológico reportado por el operario del turno de noche en el hangar 3.,Electronica,Ingenieria,SI,SI,676.0
Desgaste severo por uso operativo en el computador del sistema de control de vuelo identificado en la recepción de materiales de la cadena de suministro.,Electronica,Mantenimiento,SI,NO,1073.4
Fallo catastrófico del material en el muelle de extensión del amortiguador que requiere parada inmediata según el manual general de mantenimiento.,Tren_Aterrizaje,Ingenieria,SI,SI,534.2
Firma omitida en la orden de liberación de la cámara de combustión reportado por el operario del turno de noche en el hangar 3.,Motor,Calidad,SI,NO,
Error de trazabilidad detectada en la cuaderna de sección de cola detectado durante las pruebas funcionales rutinarias de prevuelo.,Estructura,Calidad,NO,SI,654.6
Daño por herramientas (FOD) causado por el operario en el pasador de seguridad del tren reportado por el operario del turno de noche en el hangar 3.,Tren_Aterrizaje,Calidad,NO,SI,718.3
Discrepancy en planos de diseño de los remaches del revestimiento superior identificado en la fase de control de calidad final antes de entrega.,Estructura,Ingenieria,SI,SI,1175.9
Luz de aviso activada en cabina referente a las baterías de emergencia de litio identificado en la fase de control de calidad final antes de entrega.,Electronica,Mantenimiento,NO,NO,1193.4
Discrepancy en planos de diseño de el estabilizador horizontal que requiere parada inmediata según el manual general de mantenimiento.,Estructura,Ingenieria,SI,SI,881.3
Estudio de resistencia requerido para el panel de aviónica principal reportado por el operario del turno de noche en el hangar 3.,Electronica,Ingenieria,SI,SI,
Pieza recibida con embalaje dañado afectando a la caja de accesorios (AGB) detectado durante las pruebas funcionales rutinarias de prevuelo.,Motor,Calidad,SI,SI,946.0
Incumplimiento de la norma aeronáutica en las mangueras del líquido de frenos detectado durante las pruebas funcionales rutinarias de prevuelo.,Tren_Aterrizaje,Calidad,SI,NO,61.1
Desviación estructural observada en la caja de accesorios (AGB) identificado en la fase de control de calidad final antes de entrega.,Motor,Ingenieria,SI,SI,510.5
Espesor de recubrimiento fuera de rango en el cárter del ventilador tras la notificación formal del operador de la aerolínea.,Motor,Calidad,SI,NO,300.7
Desviación estructural observada en la turbina de alta presión debido presumiblemente a condiciones ambientales extremas en operación.,Motor,Ingenieria,SI,NO,781.0
Desgaste severo por uso operativo en la turbina de alta presión detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Motor,Mantenimiento,SI,NO,196.2
No coinciden los números de serie en el actuador hidráulico principal identificado en la fase de control de calidad final antes de entrega.,Tren_Aterrizaje,Calidad,SI,SI,678.5
Corrosión galvánica severa en interfaz de las tijeras de amortiguación que requiere parada inmediata según el manual general de mantenimiento.,Tren_Aterrizaje,Ingenieria,SI,SI,925.3
Discrepancy en planos de diseño de las baterías de emergencia de litio reportado por el operario del turno de noche en el hangar 3.,Electronica,Ingenieria,SI,SI,965.0
Deformación por carga térmica en el pasador de seguridad del tren identificado en la recepción de materiales de la cadena de suministro.,Tren_Aterrizaje,Ingenieria,SI,SI,438.5
Luz de aviso activada en cabina referente a los inyectores de combustible observado tras la limpieza por ultrasonidos en la línea de reparación.,Motor,Mantenimiento,NO,NO,152.0
Firma omitida en la orden de liberación de el reverso de empuje identificado en la fase de control de calidad final antes de entrega.,Motor,Calidad,SI,SI,578.8
Necesidad de rediseño en el soporte de el pasador de seguridad del tren detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Tren_Aterrizaje,Ingenieria,NO,NO,1010.3
Fuga de fluido hidráulico localizada en los inyectores de combustible observado tras la limpieza por ultrasonidos en la línea de reparación.,Motor,Mantenimiento,NO,,564.8
Cableado deshilachado debido a rozamiento en el computador del sistema de control de vuelo debido presumiblemente a condiciones ambientales extremas en operación.,Electronica,Mantenimiento,NO,NO,
Acumulación de suciedad y residuos en el actuador hidráulico principal reportado por el operario del turno de noche en el hangar 3.,Tren_Aterrizaje,Mantenimiento,NO,NO,1132.4
Necesidad de rediseño en el soporte de el pasador de seguridad del tren tras la notificación formal del operador de la aerolínea.,Tren_Aterrizaje,Ingenieria,SI,SI,360.3
Sustitución rutinaria por horas de vuelo de las mangueras del líquido de frenos identificado en la recepción de materiales de la cadena de suministro.,Tren_Aterrizaje,Mantenimiento,NO,NO,22.8
Fallo catastrófico del material en el pasador de seguridad del tren detectado durante las pruebas funcionales rutinarias de prevuelo.,Tren_Aterrizaje,Ingenieria,SI,NO,979.8
Pérdida de presión neumática en las pastillas de freno del tren de morro que requiere parada inmediata según el manual general de mantenimiento.,Tren_Aterrizaje,Mantenimiento,NO,NO,326.0
Holgura fuera de tolerancia en las antenas de comunicación VHF detectado durante las pruebas funcionales rutinarias de prevuelo.,Electronica,Ingenieria,SI,SI,817.4
Corrosión superficial leve detectada en el mamparo de presión posterior que requiere parada inmediata según el manual general de mantenimiento.,Estructura,Mantenimiento,NO,SI,551.9
Incumplimiento de la norma aeronáutica en el eje de transmisión principal identificado en la fase de control de calidad final antes de entrega.,Motor,Calidad,NO,NO,132.7
Desgaste severo por uso operativo en el mamparo de presión posterior que requiere parada inmediata según el manual general de mantenimiento.,Estructura,Mantenimiento,NO,NO,602.9
Auditoría interna detecta desviación en el proceso de los inyectores de combustible tras la notificación formal del operador de la aerolínea.,Motor,Calidad,,NO,
Incumplimiento de la norma aeronáutica en el mamparo de presión posterior debido presumiblemente a condiciones ambientales extremas en operación.,Estructura,Calidad,SI,SI,
Documentación del proveedor incompleta para las compuertas de la bodega de carga tras la notificación formal del operador de la aerolínea.,Estructura,Calidad,SI,SI,
Cableado deshilachado debido a rozamiento en el computador del sistema de control de vuelo debido presumiblemente a condiciones ambientales extremas en operación.,Electronica,Mantenimiento,NO,NO,
Falta certificado de conformidad en lote de las tijeras de amortiguación reportado por el operario del turno de noche en el hangar 3.,Tren_Aterrizaje,Calidad,NO,SI,1124.7
Deformación por carga térmica en el computador del sistema de control de vuelo debido presumiblemente a condiciones ambientales extremas en operación.,,Ingenieria,SI,NO,921.4
Ruido anómalo durante la prueba funcional de el cableado del radar meteorológico tras la notificación formal del operador de la aerolínea.,Electronica,Mantenimiento,NO,NO,752.7
Pérdida de presión neumática en la cuaderna de sección de cola observado tras la limpieza por ultrasonidos en la línea de reparación.,Estructura,Mantenimiento,SI,NO,1112.5
Ajuste de tensión requerido en las líneas de los soportes del pilón del motor durante la inspección visual tras la llegada del vuelo.,Estructura,Mantenimiento,NO,NO,1074.2
Estudio de resistencia requerido para las mangueras del líquido de frenos identificado en la fase de control de calidad final antes de entrega.,Tren_Aterrizaje,Ingenieria,SI,SI,193.7
Auditoría interna detecta desviación en el proceso de los inyectores de combustible tras la notificación formal del operador de la aerolínea.,Motor,Calidad,SI,NO,672.5
Ruido anómalo durante la prueba funcional de las pastillas de freno del tren de morro reportado por el operario del turno de noche en el hangar 3.,Tren_Aterrizaje,Mantenimiento,NO,SI,714.0
Auditoría interna detecta desviación en el proceso de el estabilizador horizontal detectado en el banco de pruebas hidráulicas antes del ensamblaje.,Estructura,Calidad,SI,SI,830.8
Fallo catastrófico del material en el borde de ataque del ala izquierda identificado en la recepción de materiales de la cadena de suministro.,Estructura,Ingenieria,SI,SI,428.5
Fuga de fluido hidráulico localizada en la turbina de alta presión reportado por el operario del turno de noche en el hangar 3.,Motor,Mantenimiento,NO,NO,609.8
Firma omitida en la orden de liberación de las llantas del tren principal tras la notificación formal del operador de la aerolínea.,Tren_Aterrizaje,Calidad,NO,NO,779.6
Falta certificado de conformidad en lote de el reverso de empuje debido presumiblemente a condiciones ambientales extremas en operación.,Motor,Calidad,NO,SI,433.2
Sustitución rutinaria por horas de vuelo de las mangueras del líquido de frenos detectado durante las pruebas funcionales rutinarias de prevuelo.,Tren_Aterrizaje,Mantenimiento,NO,NO,1103.5
Firma omitida en la orden de liberación de las mangueras del líquido de frenos reportado por el operario del turno de noche en el hangar 3.,Tren_Aterrizaje,Calidad,SI,SI,444.2
Sustitución rutinaria por horas de vuelo de el mazo de cables del sistema de navegación identificado en la fase de control de calidad final antes de entrega.,Electronica,Mantenimiento,NO,NO,874.0
Ruido anómalo durante la prueba funcional de el mazo de cables del sistema de navegación que requiere parada inmediata según el manual general de mantenimiento.,Electronica,Mantenimiento,SI,SI,93.8
No coinciden los números de serie en el mazo de cables del sistema de navegación identificado en la recepción de materiales de la cadena de suministro.,Electronica,Calidad,SI,NO,733.4
Cableado deshilachado debido a rozamiento en el larguero principal del fuselaje que requiere parada inmediata según el manual general de mantenimiento.,Estructura,Mantenimiento,SI,NO,1158.6
Desviación estructural observada en los sensores de proximidad de bloqueo reportado por el operario del turno de noche en el hangar 3.,Tren_Aterrizaje,Ingenieria,SI,NO,
Espesor de recubrimiento fuera de rango en los remaches del revestimiento superior debido presumiblemente a condiciones ambientales extremas en operación.,Estructura,Calidad,,NO,910.0
Sustitución rutinaria por horas de vuelo de la turbina de alta presión tras la notificación formal del operador de la aerolínea.,Motor,Mantenimiento,NO,NO,617.0
Corrosión superficial leve detectada en el computador del sistema de control de vuelo identificado en la fase de control de calidad final antes de entrega.,Electronica,Mantenimiento,NO,SI,775.1
Ruido anómalo durante la prueba funcional de el panel de aviónica principal que requiere parada inmediata según el manual general de mantenimiento.,Electronica,Mantenimiento,SI,NO,
Cambio de filtros y purga manual de la turbina de alta presión detectado durante las pruebas funcionales rutinarias de prevuelo.,Motor,Mantenimiento,NO,NO,67.7
Cableado deshilachado debido a rozamiento en las baterías de emergencia de litio tras la notificación formal del operador de la aerolínea.,Electronica,Mantenimiento,NO,NO,
